ABC,Water,Gluten%,SV ml,Moisture,Slot
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,1
5.4,15,10.97,24,13.29,1
5.4,15,10.97,24,13.29,1
5.4,15,10.97,24,13.29,1
5.4,15,10.97,24,13.29,1
5.4,15,10.97,24,13.29,1
5.4,15,10.97,24,13.29,1
5.4,15,10.97,24,13.29,1
5.4,15,10.97,24,13.29,1
5.4,15,10.97,24,13.29,1
5.4,15,10.97,24,13.29,0
5.4,15,10.97,24,13.29,0
5.4,15,10.97,24,13.29,0
5.4,15,10.97,24,13.29,0
5.4,15,10.97,24,13.29,0
5.4,15,10.97,24,13.29,0
5.4,15,10.97,24,13.29,0
5.4,15,10.97,24,13.29,0
5.4,15,10.97,24,13.29,0
5.4,15,10.97,24,13.29,0
5.4,15,10.97,24,13.29,0
5.4,15,10.97,24,13.29,0
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.4,15,10.97,24,13.29,2
5.5,16,11.48,27,12.98,1
5.5,16,11.48,27,12.98,1
5.5,16,11.48,27,12.98,1
5.5,16,11.48,27,12.98,1
5.5,16,11.48,27,12.98,1
5.5,16,11.48,27,12.98,1
5.5,16,11.48,27,12.98,1
5.5,16,11.48,27,12.98,1
5.5,16,11.48,27,12.98,1
5.5,16,11.48,27,12.98,1
5.5,16,11.48,27,12.98,0
5.5,16,11.48,27,12.98,0
5.5,16,11.48,27,12.98,0
5.5,16,11.48,27,12.98,0
5.5,16,11.48,27,12.98,0
5.5,16,11.48,27,12.98,0
5.5,16,11.48,27,12.98,0
5.5,16,11.48,27,12.98,0
5.5,16,11.48,27,12.98,0
5.5,16,11.48,27,12.98,0
5.5,16,11.48,27,12.98,0
5.5,16,11.48,27,12.98,0
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6,18,11.48,27,12.98,1
6,18,11.48,27,12.98,1
6,18,11.48,27,12.98,1
6,18,11.48,27,12.98,1
6,18,11.48,27,12.98,1
6,18,11.48,27,12.98,1
6,18,11.48,27,12.98,1
6,18,11.48,27,12.98,1
6,18,11.48,27,12.98,1
6,18,11.48,27,12.98,1
6,18,11.48,27,12.98,1
6,18,11.48,27,12.98,1
6,18,11.48,27,12.98,0
6.1,18,11.48,27,12.98,0
6.1,18,11.48,27,12.98,0
6.1,18,11.48,27,12.98,0
6.1,18,11.48,27,12.98,0
6.1,18,11.48,27,12.98,0
6.1,18,11.48,27,12.98,0
5.9,18,11.48,27,12.98,0
5.9,18,11.48,27,12.98,0
5.9,18,11.48,27,12.98,0
5.9,18,11.48,27,12.98,0
5.9,18,11.48,27,12.98,0
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
6.5,18,11.48,27,12.98,1
6.5,18,11.48,27,12.98,1
6.3,18,11.48,27,12.98,1
6.3,18,11.48,27,12.98,1
6.3,18,11.48,27,12.98,1
6.3,18,11.48,27,12.98,1
6.1,18,11.48,27,12.98,1
6.1,18,11.48,27,12.98,1
6.1,18,11.48,27,12.98,1
6.1,18,11.48,27,12.98,1
6.1,18,11.48,27,12.98,1
6.1,18,11.48,27,12.98,1
6.1,18,11.48,27,12.98,1
6.1,18,11.48,27,12.98,1
6.1,18,11.48,27,12.98,0
6.1,18,11.48,27,12.98,0
6.1,18,11.48,27,12.98,0
6.1,18,11.48,27,12.98,0
6.1,18,11.48,27,12.98,0
6.1,18,11.48,27,12.98,0
6.1,18,11.48,27,12.98,0
6.1,18,11.48,27,12.98,0
6.1,18,11.48,27,12.98,0
6.1,18,11.48,27,12.98,0
6.1,18,11.48,27,12.98,0
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
5.9,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.2,18,11.48,27,12.98,2
6.7,22,11.48,27,12.98,1
6.7,22,11.48,27,12.98,1
6.7,22,11.48,27,12.98,1
6.7,22,11.48,27,12.98,1
6.7,22,11.48,27,12.98,1
6.7,22,11.48,27,12.98,1
6.7,22,11.48,27,12.98,1
6.7,22,11.48,27,12.98,1
6.5,22,11.48,27,12.98,1
6.5,22,11.48,27,12.98,1
6.5,22,11.48,27,12.98,1
6.5,22,11.48,27,12.98,1
6.5,22,11.48,27,12.98,1
6.5,22,11.48,27,12.98,1
6.2,22,11.48,27,12.98,0
6.2,22,11.48,27,12.98,0
6,22,11.48,27,12.98,0
6,22,11.48,27,12.98,0
5.8,22,11.48,27,12.98,0
5.8,22,11.48,27,12.98,0
6.2,22,11.48,27,12.98,0
6.5,22,11.48,27,12.98,0
6.5,22,11.48,27,12.98,0
6.5,22,11.48,27,12.98,0
6.5,22,11.48,27,12.98,0
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
6.4,16,11.48,27,12.98,2
7.5,20,11.22,28,12.81,1
7.5,20,11.22,28,12.81,1
7.5,20,11.22,28,12.81,1
7.5,20,11.22,28,12.81,1
7.5,20,11.22,28,12.81,1
7.5,20,11.22,28,12.81,1
7.5,20,11.22,28,12.81,1
7.5,20,11.22,28,12.81,1
7.5,20,11.22,28,12.81,1
7.5,20,11.22,28,12.81,1
7.5,20,11.22,28,12.81,1
7.5,20,11.22,28,12.81,1
7.5,20,11.22,28,12.81,0
7.5,20,11.22,28,12.81,0
7.5,20,11.22,28,12.81,0
7.5,20,11.22,28,12.81,0
7.5,20,11.22,28,12.81,0
7.5,20,11.22,28,12.81,0
7.5,20,11.22,28,12.81,0
7.5,20,11.22,28,12.81,0
7.5,20,11.22,28,12.81,0
7.5,20,11.22,28,12.81,0
6.5,16,11.22,28,12.81,2
6.5,16,11.22,28,12.81,2
6.5,16,11.22,28,12.81,2
6.5,16,11.22,28,12.81,2
6.5,16,11.22,28,12.81,2
6.5,16,11.22,28,12.81,2
6.5,16,11.22,28,12.81,2
6.5,16,11.22,28,12.81,2
6.5,16,11.22,28,12.81,2
6.5,16,11.22,28,12.81,2
6.8,16,11.22,28,12.81,2
6.8,16,11.22,28,12.81,2
6.8,16,11.22,28,12.81,2
6.8,16,11.22,28,12.81,2
6.8,16,11.22,28,12.81,2
6.8,16,11.22,28,12.81,2
6.8,16,11.22,28,12.81,2
6.8,16,11.22,28,12.81,2
6.8,16,11.22,28,12.81,2
6.8,16,11.22,28,12.81,2
6.8,15,11.22,28,12.81,1
6.8,15,11.22,28,12.81,1
6.8,15,11.22,28,12.81,1
6.8,15,11.22,28,12.81,1
6.8,15,11.22,28,12.81,1
6.8,15,11.22,28,12.81,1
6.8,15,11.22,28,12.81,1
6.8,15,11.22,28,12.81,1
6.8,15,11.22,28,12.81,1
6.8,15,11.22,28,12.81,1
6.8,15,11.22,28,12.81,1
6.8,15,11.22,28,12.81,1
6.8,15,11.22,28,12.81,0
6.8,15,11.22,28,12.81,0
6.8,15,11.22,28,12.81,0
6.8,15,11.22,28,12.81,0
6.8,15,11.22,28,12.81,0
6.8,15,11.22,28,12.81,0
6.8,15,11.22,28,12.81,0
6.8,15,11.22,28,12.81,0
6.8,15,11.22,28,12.81,0
6.8,15,11.22,28,12.81,0
6.8,15,11.22,28,12.81,0
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
5.7,16,11.22,28,12.81,2
