,ABC,Water,Gluten%,SV ml,Moisture,Slot
122,5.4,16.0,11.24,26.0,12.17,3.0
123,5.4,16.0,11.24,26.0,12.17,3.0
124,5.4,16.0,11.24,26.0,12.17,3.0
125,5.4,16.0,11.24,26.0,12.17,3.0
126,5.4,16.0,11.24,26.0,12.17,3.0
127,5.4,16.0,11.24,26.0,12.17,3.0
128,5.4,16.0,11.24,26.0,12.17,3.0
129,5.4,16.0,11.24,26.0,12.17,3.0
130,5.4,16.0,11.24,26.0,12.17,3.0
131,5.4,16.0,10.97,24.0,13.29,2.0
132,5.4,16.0,10.97,24.0,13.29,2.0
133,5.4,16.0,10.97,24.0,13.29,2.0
134,5.4,16.0,10.97,24.0,13.29,2.0
135,5.2,15.0,10.97,24.0,13.29,2.0
136,5.2,15.0,10.97,24.0,13.29,2.0
137,5.2,15.0,10.97,24.0,13.29,2.0
138,5.2,15.0,10.97,24.0,13.29,2.0
139,5.2,15.0,10.97,24.0,13.29,2.0
140,5.2,15.0,10.97,24.0,13.29,2.0
141,5.2,15.0,10.97,24.0,13.29,2.0
142,5.4,15.0,10.97,24.0,13.29,2.0
143,5.4,15.0,10.97,24.0,13.29,1.0
144,5.4,15.0,10.97,24.0,13.29,1.0
145,5.4,15.0,10.97,24.0,13.29,1.0
146,5.4,15.0,10.97,24.0,13.29,1.0
147,5.4,15.0,10.97,24.0,13.29,1.0
148,5.4,15.0,10.97,24.0,13.29,3.0
149,5.4,15.0,10.97,24.0,13.29,3.0
150,5.4,15.0,10.97,24.0,13.29,3.0
151,5.4,15.0,10.97,24.0,13.29,3.0
152,5.4,15.0,10.97,24.0,13.29,3.0
153,5.4,15.0,10.97,24.0,13.29,3.0
154,5.4,15.0,10.97,24.0,13.29,3.0
155,5.4,15.0,10.97,24.0,13.29,3.0
156,5.4,15.0,10.97,24.0,13.29,3.0
157,5.4,15.0,10.97,24.0,13.29,3.0
158,5.4,15.0,10.97,24.0,13.29,3.0
159,5.4,15.0,10.97,24.0,13.29,3.0
160,5.4,15.0,10.97,24.0,13.29,3.0
161,5.4,15.0,10.97,24.0,13.29,3.0
162,5.4,15.0,10.97,24.0,13.29,3.0
163,5.4,15.0,10.97,24.0,13.29,3.0
164,5.4,15.0,10.97,24.0,13.29,3.0
165,5.4,15.0,10.97,24.0,13.29,3.0
166,5.4,15.0,10.97,24.0,13.29,3.0
167,5.4,15.0,10.97,24.0,13.29,3.0
168,5.4,15.0,10.97,24.0,13.29,3.0
169,5.4,15.0,10.97,24.0,13.29,3.0
170,5.4,15.0,10.97,24.0,13.29,3.0
171,5.4,15.0,10.97,24.0,13.29,3.0
172,5.4,15.0,10.97,24.0,13.29,3.0
173,5.4,15.0,10.97,24.0,13.29,3.0
174,5.4,15.0,10.97,24.0,13.29,3.0
175,5.4,15.0,10.97,24.0,13.29,3.0
176,5.4,15.0,10.97,24.0,13.29,3.0
177,5.4,15.0,10.97,24.0,13.29,3.0
178,5.4,15.0,10.97,24.0,13.29,3.0
179,5.4,15.0,10.97,24.0,13.29,3.0
180,5.4,15.0,10.97,24.0,13.29,3.0
181,5.4,15.0,10.97,24.0,13.29,3.0
182,5.4,15.0,10.97,24.0,13.29,3.0
183,5.4,15.0,10.97,24.0,13.29,3.0
184,5.4,15.0,10.97,24.0,13.29,3.0
185,5.4,15.0,10.97,24.0,13.29,3.0
186,5.4,15.0,10.97,24.0,13.29,3.0
187,5.4,15.0,10.97,24.0,13.29,3.0
188,5.4,15.0,10.97,24.0,13.29,3.0
189,5.4,15.0,10.97,24.0,13.29,3.0
190,5.4,15.0,10.97,24.0,13.29,3.0
191,5.4,15.0,10.97,24.0,13.29,3.0
192,5.4,15.0,10.97,24.0,13.29,3.0
193,5.4,15.0,10.97,24.0,13.29,3.0
194,5.4,15.0,10.97,24.0,13.29,3.0
195,5.4,15.0,10.97,24.0,13.29,2.0
196,5.4,15.0,10.97,24.0,13.29,2.0
197,5.4,15.0,10.97,24.0,13.29,2.0
198,5.4,15.0,10.97,24.0,13.29,2.0
199,5.4,15.0,10.97,24.0,13.29,2.0
200,5.4,15.0,10.97,24.0,13.29,2.0
201,5.4,15.0,10.97,24.0,13.29,2.0
202,5.4,15.0,10.97,24.0,13.29,2.0
203,5.4,15.0,10.97,24.0,13.29,2.0
204,5.4,15.0,10.97,24.0,13.29,2.0
205,5.4,15.0,10.97,24.0,13.29,1.0
206,5.4,15.0,10.97,24.0,13.29,1.0
207,5.4,15.0,10.97,24.0,13.29,1.0
208,5.4,15.0,10.97,24.0,13.29,1.0
209,5.4,15.0,10.97,24.0,13.29,1.0
210,5.4,15.0,10.97,24.0,13.29,1.0
211,5.4,15.0,10.97,24.0,13.29,1.0
212,5.4,15.0,10.97,24.0,13.29,1.0
213,5.4,15.0,10.97,24.0,13.29,1.0
214,5.4,15.0,10.97,24.0,13.29,1.0
215,5.4,15.0,10.97,24.0,13.29,1.0
216,5.4,15.0,10.97,24.0,13.29,1.0
217,5.4,15.0,10.97,24.0,13.29,3.0
218,5.4,15.0,10.97,24.0,13.29,3.0
219,5.4,15.0,10.97,24.0,13.29,3.0
220,5.4,15.0,10.97,24.0,13.29,3.0
221,5.4,15.0,10.97,24.0,13.29,3.0
222,5.4,15.0,10.97,24.0,13.29,3.0
223,5.4,15.0,10.97,24.0,13.29,3.0
224,5.4,15.0,10.97,24.0,13.29,3.0
225,5.4,15.0,10.97,24.0,13.29,3.0
226,5.4,15.0,10.97,24.0,13.29,3.0
227,5.4,15.0,10.97,24.0,13.29,3.0
228,5.4,15.0,10.97,24.0,13.29,3.0
229,5.4,15.0,10.97,24.0,13.29,3.0
230,5.4,15.0,10.97,24.0,13.29,3.0
231,5.4,15.0,10.97,24.0,13.29,3.0
232,5.4,15.0,10.97,24.0,13.29,3.0
233,5.4,15.0,10.97,24.0,13.29,3.0
234,5.4,15.0,10.97,24.0,13.29,3.0
235,5.4,15.0,10.97,24.0,13.29,3.0
236,5.5,16.0,11.48,27.0,12.98,2.0
237,5.5,16.0,11.48,27.0,12.98,2.0
238,5.5,16.0,11.48,27.0,12.98,2.0
239,5.5,16.0,11.48,27.0,12.98,2.0
240,5.5,16.0,11.48,27.0,12.98,2.0
241,5.5,16.0,11.48,27.0,12.98,2.0
242,5.5,16.0,11.48,27.0,12.98,2.0
243,5.5,16.0,11.48,27.0,12.98,2.0
244,5.5,16.0,11.48,27.0,12.98,2.0
245,5.5,16.0,11.48,27.0,12.98,2.0
246,5.5,16.0,11.48,27.0,12.98,1.0
247,5.5,16.0,11.48,27.0,12.98,1.0
248,5.5,16.0,11.48,27.0,12.98,1.0
249,5.5,16.0,11.48,27.0,12.98,1.0
250,5.5,16.0,11.48,27.0,12.98,1.0
251,5.5,16.0,11.48,27.0,12.98,1.0
252,5.5,16.0,11.48,27.0,12.98,1.0
253,5.5,16.0,11.48,27.0,12.98,1.0
254,5.5,16.0,11.48,27.0,12.98,1.0
255,5.5,16.0,11.48,27.0,12.98,1.0
256,5.5,16.0,11.48,27.0,12.98,1.0
257,5.5,16.0,11.48,27.0,12.98,1.0
258,6.2,18.0,11.48,27.0,12.98,3.0
259,6.2,18.0,11.48,27.0,12.98,3.0
260,6.2,18.0,11.48,27.0,12.98,3.0
261,6.2,18.0,11.48,27.0,12.98,3.0
262,6.2,18.0,11.48,27.0,12.98,3.0
263,6.2,18.0,11.48,27.0,12.98,3.0
264,6.2,18.0,11.48,27.0,12.98,3.0
265,6.2,18.0,11.48,27.0,12.98,3.0
266,6.2,18.0,11.48,27.0,12.98,3.0
267,6.2,18.0,11.48,27.0,12.98,3.0
268,6.2,18.0,11.48,27.0,12.98,3.0
269,6.2,18.0,11.48,27.0,12.98,3.0
